Servings/s,Calories/s,Fat/s,Sat_Fat/s,Trans_Fat/s,Mono_Fat/s,Poly_Fat/s,Carbs/s,Fiber/s,Sugars/s,Protein/s,Cholesterol/s,Sodium/s,Calcium/s,Magnesium/s,Potassium/s,Iron/s,Zinc/s,Phosphorus/s,Vit_A/s,Vit_C/s,B1/s,B2/s,B3/s,B6/s,Folate_eq/s,Folate_food/s,B12/s,Vit_D/s,Vit_E/s,Vit_K/s,Water/s,CarbScore,CholoScore,TotalFatScore,SugarScore,HealthyGradScore,HealthyScore
1,106.0364687,5.121821667,1.45367344,0.000533646,1.240721884,1.901981999,11.75948397,2.081458333,2.805658138,3.832645378,6.826230469,159.2859933,61.70558588,42.1892481,228.5352218,1.22013643,0.91699994,111.4486471,15.04006901,2.57495,0.076382096,0.127281557,0.533100342,0.129233302,64.13095833,64.13095833,0.12962168,1.2271875,0.605692422,6.776280469,46.13845636,1,1,1,1,4,1
1,75.24510896,2.841252711,0.404196147,0,1.056330366,1.202035384,11.56507363,2.805073295,7.178564792,1.95422613,0,543.4138419,62.77018526,35.48588555,439.795948,1.151957139,0.384397711,50.03516619,563.4970362,11.92149373,0.074493871,0.112632947,0.887246625,0.127479684,17.00031879,17.00031879,0,0,0.835088705,121.7902741,89.68632293,1,1,1,1,4,1
1,96.37383786,3.877412663,0.521785,0,2.48919875,0.53047125,14.21403262,2.178738078,5.49946865,3.911429318,0,27.15895708,50.68574046,34.44990463,492.1963003,1.344233045,0.750200088,105.0214659,168.975,141.247,0.093477428,0.164758465,1.814816012,0.398479103,71.09543801,71.09543801,0,5.102914163,1.1975625,4.43925,155.8735121,1,1,1,1,4,1
1,110.9816028,4.613685922,1.972053091,0.249475804,0.3795725,0.0495275,14.51823276,1.231242847,1.831078064,3.652680625,3.36,363.1509165,47.18289032,8.085,117.0175,0.933778841,0.285125,41.46,9.61,27.652,0.023585,0.059685,0.201975,0.0616525,19.7925,19.7925,0.0672,0,0.2418,31.496,40.18664775,1,1,1,1,4,1
1,80.6881676,3.15235556,1.875710756,0.116369,0.773248818,0.23091524,10.34604067,3.47527853,5.3918337,3.382137528,7.6325,76.7501086,56.43542978,29.75115288,286.4647267,2.422690597,0.35528123,67.39617653,235.8414387,69.1008555,0.182252514,0.102528599,0.859855399,0.206647167,51.1691051,51.1691051,0.006035,2.13,0.644355061,31.12237625,132.1379172,1,1,1,1,4,1
1,96.70139707,3.397695695,1.483869697,0.077579333,1.29357153,0.433631874,14.45681443,1.59025,2.078595,2.540503712,6.413333333,145.6689641,47.35716667,20.1415,350.0646667,0.589106667,0.34823,70.30466667,26.033,14.71566667,0.067783333,0.075174667,0.779115667,0.230176833,13.50766667,13.50766667,0.096723333,6.504166667,0.074881667,2.6215,85.19406587,1,1,1,1,4,1
1,88.65346352,3.455170354,1.11162227,0.065097,1.51289101,0.629329135,13.90704304,4.790958852,7.42439133,2.267483782,3.81625,263.0774184,71.73211038,23.10604327,394.3260082,0.813880422,0.372922465,54.80669206,400.7037677,51.33356459,0.115449191,0.083629642,0.771934104,0.241309964,66.45270225,66.45270225,0.0030175,1.065,0.847314281,104.9227066,177.4530658,1,1,1,1,4,1
1,44.69322582,1.561201116,0.165850572,0.008948333,0.86239759,0.336606306,7.414566123,2.208293249,4.268534225,1.470663025,0,186.4590424,30.40901249,21.037435,371.0219374,0.491207624,0.382585125,48.26612499,394.88477,18.57911425,0.068580125,0.1057886,0.842762687,0.200075422,29.1328825,29.1328825,0,0,0.722006182,13.023808,121.3858819,1,1,1,1,4,1
1,110.6634653,4.6771975,2.212807275,0.121397,2.57514995,1.551780175,14.29508454,4.557231021,4.71332125,3.031776021,7.6325,61.867125,168.5449352,27.60725,248.36625,12.74552644,0.30527,69.48345,229.40225,15.67663085,0.0816405,0.07491575,0.757312375,0.153183125,18.2468,19.7168,0.006035,2.13,1.75666975,17.0955875,329.9235783,1,1,1,1,4,1
1,90.21759375,3.59588625,2.085007656,0.0581845,0.879748188,0.252151375,12.62716469,1.903521875,9.275001563,2.577568438,9.91625,303.8602976,91.97441081,14.86388951,292.5022099,0.308694789,0.399562389,74.9005,574.6685938,4.12069375,0.070904688,0.142418656,0.730236625,0.113654438,15.3991875,15.3991875,0.2775175,32.175,0.5078475,8.771525,110.815446,1,1,1,1,4,1
