Calories/s,Fat/s,Sat_Fat/s,Trans_Fat/s,Mono_Fat/s,Poly_Fat/s,Carbs/s,Fiber/s,Sugars/s,Protein/s,Cholesterol/s,Sodium/s,Recipe,HealthyLabel,ModelPrediction,Timestamp,ModelName,key,ID
81.3891185,3.745692711,0.558064487,0,2.4996575,0.501540046,10.87084599,4.103484943,5.607749139,3.684323035,0,153.3509619,Asparagus-Tomato Saute,healthy,healthy,2/22/2020 15:36,David,81.38911853.7456927110.55806448702.49965750.50154004610.870845994.1034849435.6077491393.684323035,35
76.27422954,3.713546395,0.424642851,0,1.780703212,1.329018825,9.893676844,3.403680776,5.222974139,3.123549473,0,239.2730999,Asparagus with Sesame and Citrus Vinaigrette,healthy,healthy,2/22/2020 15:36,David,76.274229543.7135463950.42464285101.7807032121.3290188259.8936768443.4036807765.2229741393.123549473,36
74.4421185,3.612577711,0.527581737,0,2.46785625,0.457902796,9.490295989,2.929359943,2.637884139,3.399008035,0,323.2954211,Asparagus With Young Garlic And Horseradish,healthy,healthy,2/22/2020 15:36,David,74.44211853.6125777110.52758173702.467856250.4579027969.4902959892.9293599432.6378841393.399008035,37
312.667,15.01202312,6.359105625,1.301406875,5.033292094,2.218189,34.92694625,3.604684375,4.396605,10.28883594,27.71125,366.1138125,Au Gratin Potatoes (Scalloped Potatoes),healthy,healthy,2/22/2020 15:36,David,312.66715.012023126.3591056251.3014068755.0332920942.2181889999999934.926946253.6046843754.39660510.28883594,38
249.5028645,11.00279838,5.338520506,0.318109737,3.710130035,1.089054881,31.12284625,1.977689853,3.962848786,7.67356711,24.43078231,490.6535638,Aw Maw's Potatoes,healthy,unhealthy,2/22/2020 15:36,David,249.502864511.002798385.3385205060.3181097373.7101300351.08905488131.122846251.9776898533.9628487867.67356711,39
247.2990594,10.40805829,2.654738549,0.0078,5.779041716,1.385024198,31.66206368,8.922097758,4.380945981,10.99021185,8.58,470.6593442,Baby Artichoke & Dinosaur Kale Panzanella,healthy,healthy,2/22/2020 15:36,David,247.299059410.408058292.6547385490.00785.7790417161.38502419831.662063688.9220977584.38094598110.99021185,40
175.0814687,6.971542033,0.627929004,0.0207375,3.798819899,2.177577555,25.72848113,4.438864285,2.063815121,4.730473343,0,317.4905032,Baby Potatoes with Kale and Garlic,healthy,healthy,2/22/2020 15:36,David,175.08146876.971542032999990.6279290040.02073753.798819898999992.17757755525.728481134.4388642852.063815120999994.730473343,41
194.4285227,7.02870952,3.587388227,0.006333333,1.956992808,0.696858597,24.76901665,1.787815467,16.90773249,8.153508187,78.26666667,193.01698,Baked Barley-Cherry Custard,healthy,unhealthy,2/22/2020 15:36,David,194.42852277.028709523.5873882270.0063333331.9569928080.69685859724.769016651.78781546716.907732498.153508187,42
135.755,13.81155,1.894565,0,9.867155,1.533835,2.93125,1.206,0.7571,1.4338,0,109.29756,Baked Kale,healthy,unhealthy,2/22/2020 15:36,David,135.75513.811551.89456509.8671551.5338352.931251.2060.75711.4338,43
88.4975,7.260825,0.9834225,0,4.9525925,0.8930525,5.748275,2.215,1.49815,2.3102,0,166.27182,Baked Kale Chips,healthy,healthy,2/22/2020 15:36,David,88.49757.2608250.983422504.95259250.8930524999999995.7482752.2151.498152.3102,44
323.6818292,14.47199976,7.646636064,0,4.075175915,1.88936987,33.81172553,3.3339625,0.271817616,16.10360859,35.29357558,519.9133812,Baked Pepper Jack Quinoa Skillet,healthy,unhealthy,2/22/2020 15:36,David,323.681829214.471999767.64663606404.0751759151.8893698733.811725533.33396250.27181761616.10360859,45
323.6818292,14.47199976,7.646636064,0,4.075175915,1.88936987,33.81172553,3.3339625,0.271817616,16.10360859,35.29357558,519.9133812,Baked Pepper Jack Quinoa Skillet recipes,healthy,unhealthy,2/22/2020 15:36,David,323.681829214.471999767.64663606404.0751759151.8893698733.811725533.33396250.27181761616.10360859,45
